lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year,UniqueID
32.3182314,-86.902298,Global Crusaders: Order of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2017,aea35e79-fe73-4a86-85c5-961cd5c9acec
32.3182314,-86.902298,National Socialist Liberation Front,"",ALABAMA,"",Neo-Nazi,"",Yes,2017,a6e0d679-5991-4aec-b90b-beadf8300263
32.3182314,-86.902298,Traditionalist Worker Party,"",ALABAMA,Traditionalist Worker Party,Neo-Nazi,"",Yes,2017,6ea25b1a-23f4-40f8-8127-a97d20d18f81
32.3182314,-86.902298,United Dixie White Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2017,6f2d4108-b935-45b3-96e8-1397402d2e21
32.3182314,-86.902298,American Christian Dixie Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,Yes,Yes,2018,d620e33a-dcd9-4279-877a-f7be9446b38d
32.3182314,-86.902298,Global Crusaders: Order of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2018,90953445-bec3-417b-bbd1-221a3e4d365c
32.3182314,-86.902298,Nordic Order Knights of the Ku Klux Klan,"",ALABAMA,"",Ku Klux Klan,"",Yes,2018,29fd23eb-a295-42b4-bb3c-8d4c22fb8f15
32.3182314,-86.902298,United Klans of America,"",ALABAMA,"",Ku Klux Klan,"",Yes,2018,abf23113-5712-4806-8ff0-3371f8c51910
32.3182314,-86.902298,Atomwaffen Division,"",ALABAMA,"",Neo-Nazi,"",Yes,2018,49acd24b-5262-4b10-bbc8-057a5d9e41f9
32.3182314,-86.902298,National Socialist Liberation Front,"",ALABAMA,"",Neo-Nazi,"",Yes,2018,61aba2e0-b359-40ac-9055-85369151a120
32.3182314,-86.902298,Traditionalist Worker Party,"",ALABAMA,Traditionalist Worker Party,Neo-Nazi,"",Yes,2018,3c2e9726-d144-4166-8c6e-2c2a3405eb0e
32.3182314,-86.902298,The Right Stuff,"",ALABAMA,"",White Nationalist,"",Yes,2018,4e933c9a-705b-4494-afa6-242b33e15425
32.3182314,-86.902298,Proud Boys,"",ALABAMA,Proud Boys,General Hate,"",Yes,2019,0536e1e9-2f88-4b4e-b7c8-ec052fd8f8c5
32.3182314,-86.902298,United Klans of America,"",ALABAMA,"",Ku Klux Klan,"",Yes,2019,2220d0be-9290-4cd2-90b0-a677e1e2c31b
32.3182314,-86.902298,National Socialist Liberation Front,"",ALABAMA,"",Neo-Nazi,"",Yes,2019,ce38ab2a-1a19-465f-a7ab-734e11fe429f
32.3182314,-86.902298,The Daily Stormer,"",ALABAMA,"",Neo-Nazi,"",Yes,2019,2d06a499-a47b-42b2-9d3b-c6ba977cd1b7
32.3182314,-86.902298,Wolves of Vinland,"",ALABAMA,"",Neo-Volkisch,"",Yes,2019,de558296-bc34-4b92-a7f8-17a7137e2fe2
