lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
64.2008413,-149.4936733,Jewish Defense League,"",ALASKA,"",General Hate,"",Yes,2004
64.2008413,-149.4936733,Jewish Defense League,"",ALASKA,"",General Hate,"",Yes,2005
64.2008413,-149.4936733,National Socialist Movement,"",ALASKA,National Socialist Movement,Neo-Nazi,"",Yes,2006
64.2008413,-149.4936733,American Third Position,"",ALASKA,"",White Nationalist,"",Yes,2012
64.2008413,-149.4936733,Asatru Folk Assembly,"",ALASKA,"",Neo-Volkisch,"",Yes,2017
64.2008413,-149.4936733,The Daily Stormer,"",ALASKA,"",Neo-Nazi,"",Yes,2017
64.2008413,-149.4936733,True Cascadia,"",ALASKA,"",White Nationalist,"",Yes,2017
64.2008413,-149.4936733,Asatru Folk Assembly,"",ALASKA,"",General Hate,"",Yes,2018
64.2008413,-149.4936733,Proud Boys,"",ALASKA,Proud Boys,General Hate,"",Yes,2018
64.2008413,-149.4936733,"Daily Stormer, The","",ALASKA,"",Neo-Nazi,"",Yes,2018
64.2008413,-149.4936733,Asatru Folk Assembly,"",ALASKA,"",Neo-Volkisch,"",Yes,2019
34.0489281,-111.0937311,National Organization for European American Rights,"",ARIZONA,"",General Hate,"",Yes,2000
34.0489281,-111.0937311,National Skinhead Front,"",ARIZONA,"",Racist Skinhead,"",Yes,2001
34.0489281,-111.0937311,Canyon State Skins,"",ARIZONA,"",Racist Skinhead,"",Yes,2005
34.0489281,-111.0937311,Canyon State Skins,"",ARIZONA,"",Racist Skinhead,"",Yes,2006
34.0489281,-111.0937311,National Socialist Movement,"",ARIZONA,National Socialist Movement,Neo-Nazi,"",Yes,2007
34.0489281,-111.0937311,White Revolution,"",ARIZONA,"",Neo-Nazi,"",Yes,2007
34.0489281,-111.0937311,Western Hammerskins,"",ARIZONA,"",Racist Skinhead,"",Yes,2008
34.0489281,-111.0937311,White Knights of America,"",ARIZONA,"",Neo-Nazi,"",Yes,2008
34.0489281,-111.0937311,White Revolution,"",ARIZONA,"",Neo-Nazi,"",Yes,2008
34.0489281,-111.0937311,Deaths Head Hooligans,"",ARIZONA,"",Racist Skinhead,"",Yes,2009
34.0489281,-111.0937311,National Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2009
34.0489281,-111.0937311,American National Socialist Party,"",ARIZONA,"",Neo-Nazi,"",Yes,2010
34.0489281,-111.0937311,American Third Position,"",ARIZONA,"",White Nationalist,"",Yes,2010
34.0489281,-111.0937311,Aryan Nations 88,"",ARIZONA,"",Neo-Nazi,"",Yes,2010
34.0489281,-111.0937311,Brotherhood of Klans Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2010
34.0489281,-111.0937311,Jewish Defense League,"",ARIZONA,"",General Hate,"",Yes,2010
34.0489281,-111.0937311,National Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2010
34.0489281,-111.0937311,Retaliator Skinhead Nation,"",ARIZONA,"",Racist Skinhead,"",Yes,2010
34.0489281,-111.0937311,Sons of Aesir Motorcycle Club,"",ARIZONA,"",General Hate,"",Yes,2010
34.0489281,-111.0937311,United Northern and Southern Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2010
34.0489281,-111.0937311,Jewish Defense League,"",ARIZONA,"",General Hate,"",Yes,2011
34.0489281,-111.0937311,National Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2011
34.0489281,-111.0937311,Sons of Aesir Motorcycle Club,"",ARIZONA,"",General Hate,"",Yes,2011
34.0489281,-111.0937311,South Africa Project,"",ARIZONA,"",White Nationalist,"",Yes,2011
34.0489281,-111.0937311,American Nazi Party,"",ARIZONA,"",Neo-Nazi,"",Yes,2012
34.0489281,-111.0937311,Aryan Terror Brigade,"",ARIZONA,"",Racist Skinhead,"",Yes,2012
34.0489281,-111.0937311,The Creativity Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2012
34.0489281,-111.0937311,Jewish Defense League,"",ARIZONA,"",General Hate,"",Yes,2012
34.0489281,-111.0937311,Sons of Aesir Motorcycle Club,"",ARIZONA,"",General Hate,"",Yes,2012
34.0489281,-111.0937311,Stormfront Arizona,"",ARIZONA,"",White Nationalist,"",Yes,2012
34.0489281,-111.0937311,American Nazi Party,"",ARIZONA,"",Neo-Nazi,"",Yes,2013
34.0489281,-111.0937311,Loyal White Knights of the KKK,"",ARIZONA,"",Ku Klux Klan,"",Yes,2013
34.0489281,-111.0937311,National Socialist Freedom Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2013
34.0489281,-111.0937311,Red October,"",ARIZONA,"",White Nationalist,"",Yes,2013
34.0489281,-111.0937311,Aryan Nations Sadistic Souls MC,"",ARIZONA,"",Neo-Nazi,"",Yes,2013
34.0489281,-111.0937311,Sons of Aesir Motorcycle Club,"",ARIZONA,"",General Hate,"",Yes,2013
34.0489281,-111.0937311,The Creativity Movement,"",ARIZONA,"",Neo-Nazi,"",Yes,2013
34.0489281,-111.0937311,American Nazi Party,"",ARIZONA,"",Neo-Nazi,"",Yes,2014
34.0489281,-111.0937311,Aryan Strikeforce,"",ARIZONA,"",Racist Skinhead,"",Yes,2014
